,Season,Location,Year,event_id
,1,Stuttgart,2019,999999212F07B50000000052
,1,Wien,2018,999999212F07B50000000051
,1,Essen,2018,999999212F07B5000000003D
,1,Hamburg,2018,999999212F07B50000000029
,1,Leipzig,2018,999999212F07B50000000015
,1,Karlsruhe,2019,999999212F07B50000000067
,1,Nurnberg,2019,999999212F07B50000000066
,1,Hannover,2019,999999212F07B50000000065
,2,Miama,2019,999999212F07B5000000012D
,2,Leipzig,2019,999999212F07B5000000008D
,2,Essen,2019,999999212F07B500000000A1
,2,Hamburg,2019,999999212F07B5000000008E
,2,Wien,2019,999999212F07B500000000F1
,2,Frankfurt,2019,999999212F07B50000000105
,2,New York,2019,999999212F07B50000000191
,2,Chicago,2020,999999212F07B50000000192
,2,Dallas,2020,999999212F07B600000001E1
,2,Hannover,2020,999999212F07B50000000119
,2,Karlsruhe,2020,999999212F07B50000000169
,3,Austin,2021,2EFMS4JI21E
,3,Orlando,2021,2EFMS4JI21F
,3,Chicago,2021,2EFMS4JI220
,3,Dallas,2021,2EFMS4JI21D
,4,Leipzig,2021,2EFMS4JI259
,4,Los Angeles,2021,2EFMS4JI26D
,4,Amsterdam,2021,2EFMS4JI281
,4,Birmingham ,2021,2EFMS4JI282
,4,Stuttgart,2021,2EFMS4JI283
,4,Berlin,2021,2EFMS4JI285
,4,Dallas,2021,2EFMS4JI284
,4,Hamburg,2021,2EFMS4JI286
,4,Madrid,2021,2EFMS4JI289
,4,Manchester,2022,2EFMS4JI2BD
,4,Munchen,2022,2EFMS4JI2BE
,4,New York,2021,2EFMS4JI2C2
,4,Bremen,2022,2EFMS4JI2C3
,4,Maastricht,2022,2EFMS4JI2C4
,4,Karlsruhe,2022,2EFMS4JI2C5
,4,Wien,2022,2EFMS4JI2C7
,4,Las Vegas,2022,2EFMS4JI2CC
,4,Chicago,2022,2EFMS4JI2A9
,4,Essen,2022,2EFMS4JI2CA
,4,London,2021,2EFMS4JI26E
,4,Dallas,2022,2EFMS4JI2C6
,4,Frankfurt,2022,2EFMS4JI2C8
,4,Los Angeles,2022,2EFMS4JI2CB
,5,Basel,2022,2EFMS4JI2BF
,5,New York,2022,2EFMS4JI321
,5,Leipzig,2022,2EFMS4JI35D
,5,Birmingham ,2022,2EFMS4JI349
,5,Valencia,2022,2EFMS4JI371
,5,Amsterdam,2022,2EFMS4JI385
,5,Chicago,2022,2EFMS4JI39A
,5,Berlin,2022,2EFMS4JI399
,5,Essen,2022,JGDMS4JI3D5
,5,London,2022,2EFMS4JI3AD
,5,Dallas,2022,JGDMS4JI3D7
,5,Hong Kong,2022,2EFMS4JI3C1
,5,Hamburg,2022,JGDMS4JI3E9
,5,Madrid,2022,JGDMS4JI3D6
,5,Frankfurt,2022,JGDMS4JI3FD
,5,Los Angeles,2022,JGDMS4JI3FE
,5,Maastricht,2023,JGDMS4JI411
,5,Manchester,2023,JGDMS4JI425
,5,Stuttgart,2023,JGDMS4JI44D
,5,Bilbao,2023,JGDMS4JI44F
,5,Chicago,2023,JGDMS4JI44E
,5,Glasgow,2023,JGDMS4JI439
,5,Houston,2023,JGDMS4JI462
,5,Wien,2023,JGDMS4JI461
,5,Karlsruhe,2023,JGDMS4JI465
,5,Miama,2023,JGDMS4JI474
,5,Malaga,2023,JGDMS4JI46A
,5,Koln,2023,JGDMS4JI468
,5,Anaheim,2023,JGDMS4JI472
,5,Hannover,2023,JGDMS4JI46C
,5,Rotterdam,2023,JGDMS4JI46E
,5,Munchen,2023,JGDMS4JI464
,5,Hamburg,2023,JGDMS4JI473
,5,Barcelona,2023,JGDMS4JI466
,5,Dallas,2023,JGDMS4JI470
,5,Hong Kong,2023,JGDMS4JI46F
,5,London,2023,JGDMS4JI47A
,5,Stockholm,2023,JGDMS4JI467
,6,Rimini,2023,JGDMS4JI4D9
,6,New York,2023,JGDMS4JI471
,6,Sydney,2023,JGDMS4JI515
,6,Melbourne,2023,JGDMS4JI516
,6,Dubai,2023,JGDMS4JI477
,6,Warschau,2023,JGDMS4JI53D
,6,Madrid,2023,JGDMS4JI565
,6,Malmo,2023,JGDMS4JI46D
,6,Milan,2023,JGDMS4JI5A1
,6,Singapore,2023,JGDMS4JI58D
,6,Munchen,2023,JGDMS4JI5C9
,6,Birmingham ,2023,JGDMS4JI5E2
,6,Valencia,2023,JGDMS4JI5BB
,6,Dublin,2023,JGDMS4JI5DD
,6,Amsterdam,2023,JGDMS4JI606
,6,Paris,2023,JGDMS4JI579
,6,Chicago,2023,JGDMS4JI52A
,6,Hamburg,2023,JGDMS4JI619
,6,Barcelona,2023,JGDMS4JI643
,6,Dallas,2023,JGDMS4JI642
,6,Hong Kong,2023,JGDMS4JI5F2
,6,London,2023,JGDMS4JI62E
,6,Stockholm,2023,JGDMS4JI656
,6,Frankfurt,2023,JGDMS4JI655
,6,Los Angeles,2023,JGDMS4JI66A
,6,Turin,2024,JGDMS4JI6AB
,6,Dubai,2024,JGDMS4JI6CE
,6,Bilbao,2024,JGDMS4JI6CD
,6,Maastricht,2024,JGDMS4JI6AA
,6,Kotawice,2024,JGDMS4JI70A
,6,Fort Lauderdale,2024,JGDMS4JI709
,6,Glasgow,2024,JGDMS4JI70C
,6,Karlsruhe,2024,JGDMS4JI745
,6,Houston,2024,JGDMS4JI748
,6,Copenhagen,2024,JGDMS4JI731
,6,Rotterdam,2024,JGDMS4JI747
,6,Malaga,2024,JGDMS4JI75A
,6,Koln,2024,JGDMS4JI771
,6,Mexico City,2024,JGDMS4JI76F
,6,Berlin,2024,JGDMS4JI781
,6,Bordeaux,2024,JGDMS4JI759
,6,Doha,2024,JGDMS4JI7E5
,6,Taipei,2024,JGDMS4JI7E8
,6,Rimini,2024,JGDMS4JI80E
,6,New York,2024,JGDMS4JI7E7
,6,Incheon,2024,JGDMS4JI6F5
,6,Madrid,2024,JGDMS4JI71D
,6,Manchester,2024,JGDMS4JI6BA
,7,Sydney,2024,JGDMS4JI849
,7,Brisbane,2024,JGDMS4JI85D
,7,Singapore,2024,JGDMS4JI860
,7,Cape Town,2024,JGDMS4JI885
,7,Perth,2024,JGDMS4JI85E
,7,Stuttgart,2024,JGDMS4JI872
,7,Toronto,2024,Multiple 
,7,Nice,2024,JGDMS4JI8C1
,7,Amsterdam,2024,Multiple 
,7,Milan,2024,JGDMS4JI8D6
,7,Incheon,2024,JGDMS4JI871
,7,Madrid,2024,JGDMS4JI8EA
,7,Birmingham ,2024,Multiple 
,7,Hamburg,2024,JGDMS4JI8AE
,7,Poznan,2024,JGDMS4JI901
,7,Paris,2024,JGDMS4JI914
,7,Mexico City,2024,JGDMS4JI913
,7,Manchester,2024,JGDMS4JI8B0
,7,Dublin,2024,Multiple 
,7,Chicago,2024,JGDMS4JI918
,7,Beijing,2024,JGDMS4JI8B7
,7,Dallas,2024,JGDMS4JI925
,7,Hong Kong,2024,JGDMS4JI8D9
,7,London,2024,Multiple
,7,Stockholm,2024,Multiple
,7,Marseille,2024,JGDMS4JI917
,7,Anaheim,2024,JGDMS4JI93E
,7,Melbourne,2024,JGDMS4JI962
,7,Frankfurt,2024,JGDMS4JI964
,7,Manchester,2025,JGDMS4JI992
,7,Turin,2025,No Results Yet
,7,Maastricht,2025,JGDMS4JI996
,7,Las Vegas,2025,Multiple
,7,Auckland,2025,JGDMS4JI98E
,7,Toulouse,2025,JGDMS4JI9B1
,7,St. Gallen,2025,JGDMS4JI998
,7,Guadalajara,2025,JGDMS4JI9A3
,7,Bilbao,2025,Multiple
,7,Katowice,2025,JGDMS4JI98D
,7,Vienna,2025,JGDMS4JI999
,7,Rotterdam,2025,Multiple
,7,Karlsruhe,2025,LR3MS4JI9C5
,7,Johannesburg,2025,JGDMS4JI9A0
,7,Brisbane,2025,LR3MS4JI9DA
,7,Valancia,2025,Multiple
,7,Houston,2025,LR3MS4JIA19
,7,Copenhagen,2025,LR3MS4JIA15
,7,Glasgow,2025,Multiple
,7,Malaga,2025,Multiple
,7,Shanghai,2025,LR3MS4JIA3E
,7,Monterrey,2025,LR3MS4JIA52
,7,Belgium,2025,LR3MS4JIA54
,7,Warsaw,2025,Multiple
,7,Taipei,2025,LR3MS4JIA3F
,7,Sharjah,2025,LR3MS4JIA65
,7,Cologne,2025,Multiple
,7,Paris,2025,Multiple
,7,Miami Beach,2025,LR3MS4JIAA3
,7,Barcelona,2025,Multiple
,7,Atlanta,2025,Multiple
,7,Mumbai,2025,LR3MS4JIADD
,7,London,2025,LR3MS4JIAB7
,7,Heerenveen,2025,Multiple
,7,Incheon,2025,LR3MS4JIB19
,7,Berlin,2025,Multiple
,7,Bangkok,2025,Multiple
,7,Rimini,2025,No Results Yet
,7,Riga,2025,No Results Yet
,7,New York,2025,No Results Yet
,7,Cardiff,2025,No Results Yet
